ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME
USC00010160,32.935,-85.9556,201.2,AL,ALEXANDER CITY
USC00010178,33.1272,-88.155,59.4,AL,ALICEVILLE
USC00010390,34.7753,-86.9508,210.0,AL,ATHENS
USC00010402,31.1819,-87.4389,91.4,AL,ATMORE
USC00010425,32.5992,-85.4653,166.1,AL,AUBURN NO.2
USC00010505,33.4528,-87.3572,85.3,AL,BANKHEAD L&D
USC00010583,30.8839,-87.7853,82.6,AL,BAY MINETTE
USC00010655,34.6892,-86.8819,183.8,AL,BELLE MINA 2 N
USC00010764,33.3936,-87.0067,132.6,AL,BESSEMER 3 WSW
USC00011080,31.1414,-87.0486,52.7,AL,BREWTON 3 ENE
USC00011099,34.9808,-85.81,203.3,AL,BRIDGEPORT 5 NW
USC00011620,33.2814,-86.3431,126.8,AL,CHILDERSBURG WTP
USC00011694,32.8158,-86.6044,179.8,AL,CLANTON
USC00011725,31.8708,-85.45,173.4,AL,CLAYTON
USC00012096,34.2067,-86.8,246.9,AL,CULLMAN 1.5SE/KRESS FARMS
USC00012172,30.2506,-88.0775,2.4,AL,DAUPHIN IS #2
USC00012245,32.5194,-87.8794,30.5,AL,DEMOPOLIS L&D
USC00012675,31.2969,-85.89,102.7,AL,ENTERPRISE 4 W
USC00012730,32.0111,-85.09,91.4,AL,EUFAULA WILDLIFE REF
USC00012813,30.5467,-87.8808,7.0,AL,FAIRHOPE 2 NE
USC00012883,33.6794,-87.83,100.9,AL,FAYETTE
USC00013154,34.0219,-85.9878,172.2,AL,GADSDEN
USC00013160,32.8347,-88.1342,38.1,AL,GAINESVILLE LOCK
USC00013251,31.0383,-85.8708,44.2,AL,GENEVA #2
USC00013511,32.6922,-87.5761,75.9,AL,GREENSBORO
USC00013519,31.79,-86.6086,104.2,AL,GREENVILLE
USC00013573,34.3344,-86.3297,176.2,AL,GUNTERSVILLE
USC00013575,34.3347,-86.3294,181.4,AL,GUNTERSVILLE NO.2
USC00013620,34.2314,-87.6353,280.4,AL,HALEYVILLE
USC00013645,34.1389,-87.9947,149.4,AL,HAMILTON
USC00013761,31.3831,-85.3678,103.9,AL,HEADLAND
USC00013775,33.6433,-85.6094,307.8,AL,HEFLIN
USC00014193,31.5253,-87.9278,67.1,AL,JACKSON
USC00014502,32.9069,-85.4336,225.6,AL,LAFAYETTE 2W
USC00015121,32.4717,-87.2308,68.3,AL,MARION JUNCTION 2 NE
USC00015635,34.4883,-87.2989,189.6,AL,MOULTON 2
USC00016121,33.9264,-86.4211,333.8,AL,ONEONTA
USC00016129,32.6592,-85.4497,191.1,AL,OPELIKA
USC00016988,30.5653,-87.7017,49.1,AL,ROBERTSDALE
USC00017025,33.1583,-85.2908,230.1,AL,ROCK MILLS
USC00017131,34.51,-87.7319,253.0,AL,RUSSELLVILLE #2
USC00017157,34.1744,-86.8106,238.7,AL,SAINT BERNARD
USC00017207,34.2878,-85.9681,362.7,AL,SAND MT SUBSTN
USC00017304,34.6736,-86.0536,187.5,AL,SCOTTSBORO
USC00017366,32.4111,-87.0144,44.8,AL,SELMA
USC00017999,33.2053,-86.195,153.6,AL,SYLACAUGA 4 NE
USC00018024,33.4172,-86.1344,154.8,AL,TALLADEGA
USC00018209,32.9206,-86.6708,207.3,AL,THORSBY EXP STN
USC00018323,31.8075,-85.9722,165.2,AL,TROY
USC00018380,33.2231,-87.61,50.3,AL,TUSCALOOSA ACFD
USC00018469,34.5686,-85.6064,341.7,AL,VALLEY HEAD
USC00018517,33.7417,-88.125,90.5,AL,VERNON
USC00018998,33.9108,-87.8469,158.5,AL,WINFIELD 2 SW
USC00080211,29.7258,-85.0206,6.1,FL,APALACHICOLA AP
USC00080228,27.2178,-81.8742,7.6,FL,ARCADIA
USC00080236,27.1819,-81.3511,41.5,FL,ARCHBOLD BIO STN
USC00080369,27.5947,-81.5267,46.9,FL,AVON PARK 2 W
USC00080478,27.8864,-81.8325,34.1,FL,BARTOW 1SE
USC00080945,27.4364,-82.4903,5.2,FL,BRADENTON 5 ESE
USC00081163,28.6664,-82.0894,24.4,FL,BUSHNELL 1 E
USC00081276,26.8639,-80.6256,9.1,FL,CANAL PT USDA
USC00081544,30.7806,-85.5503,39.6,FL,CHIPLEY
USC00081641,28.4558,-81.7233,39.6,FL,CLERMONT 9 S
USC00081978,29.425,-81.5161,16.2,FL,CRESCENT CITY
USC00082008,29.6333,-83.1053,12.8,FL,CROSS CITY 1 E
USC00082150,29.1967,-81.0083,8.8,FL,DAYTONA BEACH
USC00082229,29.0097,-81.2986,7.6,FL,DELAND 1 SSE
USC00082418,24.6278,-82.8736,0.9,FL,DRY TORTUGAS
USC00082944,30.6669,-81.4525,14.9,FL,FERNANDINA BEACH
USC00083020,25.1422,-80.9144,0.9,FL,FLAMINGO RS
USC00083163,26.1019,-80.2011,4.9,FL,FT LAUDERDALE
USC00083168,26.1408,-80.1061,1.2,FL,FT LAUDERDALE BEACH
USC00083207,27.4419,-80.3508,7.6,FL,FT PIERCE
USC00083470,30.2717,-82.1856,39.0,FL,GLEN ST MARY 1 W
USC00083874,29.7653,-81.4697,3.0,FL,HASTINGS 4NE
USC00083909,25.8272,-80.2858,3.7,FL,HIALEAH
USC00084095,25.5011,-80.55,2.7,FL,HOMESTEAD GEN AVIATION AP
USC00084289,28.8028,-82.3128,17.7,FL,INVERNESS 3 SE
USC00084366,30.2875,-81.3928,3.0,FL,JACKSONVILLE BEACH
USC00084394,30.5056,-82.9492,39.6,FL,JASPER
USC00084625,28.2764,-81.4239,18.3,FL,KISSIMMEE 2
USC00084731,30.1853,-82.5942,59.4,FL,LAKE CITY 2 E
USC00084802,27.9944,-82.0139,42.4,FL,LAKELAND 2
USC00085076,28.8728,-81.7844,20.7,FL,LISBON
USC00085099,30.3075,-82.9936,40.2,FL,LIVE OAK
USC00085184,26.4986,-80.2161,6.4,FL,LOXAHATCHEE NWR
USC00085539,30.06,-83.1719,25.3,FL,MAYO
USC00085612,28.1136,-80.6539,10.7,FL,MELBOURNE WFO
USC00085895,26.84,-81.0872,10.7,FL,MOORE HAVEN LOCK 1
USC00085973,27.9378,-81.5992,38.1,FL,MTN LAKE
USC00086065,27.24,-82.3153,5.8,FL,MYAKKA RVR SP
USC00086078,26.1653,-81.6842,12.2,FL,NAPLES
USC00086240,30.5317,-86.4928,22.6,FL,NICEVILLE
USC00086414,29.1639,-82.0778,22.9,FL,OCALA
USC00086842,30.2492,-85.6606,1.5,FL,PANAMA CITY 5N
USC00087020,25.5819,-80.4361,3.0,FL,PERRINE 4W
USC00087025,30.0925,-83.5708,13.7,FL,PERRY
USC00087205,28.0208,-82.1392,33.2,FL,PLANT CITY
USC00087397,26.9147,-81.9969,6.1,FL,PUNTA GORDA 4 ESE
USC00087429,30.545,-84.5986,72.2,FL,QUINCY 3 SSW
USC00087760,25.3867,-80.5936,2.1,FL,ROYAL PALM RS
USC00087826,29.8764,-81.31,3.7,FL,ST AUGUSTINE WTP
USC00087851,28.3381,-82.2603,52.7,FL,SAINT LEO
USC00087982,28.8147,-81.2778,3.7,FL,SANFORD
USC00088620,27.1897,-80.2397,4.0,FL,STUART
USC00088782,27.7053,-82.4008,12.2,FL,TAMPA BAY AREA WFO
USC00088824,28.1522,-82.7539,1.8,FL,TARPON SPGS SEWAGE PLT
USC00088942,28.6244,-80.8169,4.9,FL,TITUSVILLE
USC00089120,29.4081,-82.8189,10.1,FL,USHER TWR
USC00089176,27.1006,-82.4364,2.4,FL,VENICE
USC00089219,27.6528,-80.4031,6.1,FL,VERO BEACH 4SE
USC00089401,27.5478,-81.7994,18.3,FL,WAUCHULA
USC00089566,30.1122,-85.1958,13.4,FL,WEWAHITCHKA
USC00160098,31.3206,-92.4611,26.5,LA,ALEXANDRIA
USC00160103,31.2483,-92.4486,23.5,LA,ALEXANDRIA 5 SSE
USC00160800,32.3744,-92.9433,93.6,LA,BIENVILLE 3 NE
USC00161232,31.395,-92.7167,33.5,LA,BOYCE 3 WNW
USC00161287,30.9594,-92.1786,24.4,LA,BUNKIE
USC00161411,32.5372,-92.3597,36.6,LA,CALHOUN 2 N
USC00161565,30.1981,-91.1256,7.6,LA,CARVILLE 2 SW
USC00162151,30.5269,-90.2147,13.4,LA,COVINGTON 8 WNW
USC00162534,30.0719,-91.0278,9.1,LA,DONALDSONVILLE 4 SW
USC00163313,29.8233,-91.5442,3.7,LA,FRANKLIN 3 NW
USC00163433,29.4631,-90.3072,1.5,LA,GALLIANO
USC00163800,30.4183,-92.0442,16.8,LA,GRAND COTEAU
USC00163979,29.8894,-93.4022,1.8,LA,HACKBERRY 8 SSW
USC00164034,30.4878,-90.4875,10.7,LA,HAMMOND
USC00164355,32.81,-93.0625,65.5,LA,HOMER 1N
USC00164674,29.9594,-91.7111,5.2,LA,JEANERETTE 5 NW
USC00164696,31.6783,-92.1289,43.6,LA,JENA
USC00164700,30.2003,-92.6642,7.6,LA,JENNINGS
USC00164739,31.4825,-91.8628,21.3,LA,JONESVILLE LOCKS
USC00165065,30.0206,-92.7681,3.7,LA,LAKE ARTHUR 7 SW
USC00165266,31.1417,-93.2397,8.5,LA,LEESVILLE
USC00165296,29.7869,-92.2083,0.0,LA,LELAND BOWMAN LOCK
USC00166244,32.6053,-93.2947,56.4,LA,MINDEN
USC00166394,29.6833,-91.1761,1.5,LA,MORGAN CITY
USC00166657,30.0292,-91.8844,4.9,LA,NEW IBERIA AP - ACADIANA RGNL
USC00166686,30.7267,-91.3672,13.7,LA,NEW ROADS 5 NE
